[2026-07-17 15:44:46.121] [info]  splashScreenPreload: signalReady
[2026-07-17 15:44:46.154] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-07-17 15:44:46.156] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-07-17 15:44:46.156] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-07-17 15:44:46.157] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-07-17 15:44:46.157] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-07-17 15:44:46.157] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-07-17 15:44:46.157] [info]  splashScreenPreload: onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-07-17 15:44:46.239] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-07-17 15:44:47.424] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-07-17 15:44:47.438] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-07-17 15:44:47.457] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-07-17 15:44:47.467] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-07-17 15:44:47.484] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-07-17 15:44:47.488] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-07-17 15:44:47.496] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-07-17 15:44:47.500] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-07-17 15:44:47.507] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-07-17 15:44:47.512] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2026-07-17 15:44:47.519] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-07-17 15:44:47.522] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-07-17 15:44:47.529] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2026-07-17 15:44:47.530] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-07-17 15:44:47.534] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2026-07-17 15:44:47.540] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2026-07-17 15:44:47.545] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2026-07-17 15:44:47.546] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2026-07-17 15:44:47.551] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2026-07-17 15:44:47.553] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2026-07-17 15:44:47.558] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2026-07-17 15:44:47.562] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2026-07-17 15:44:47.566] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2026-07-17 15:44:47.567] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2026-07-17 15:44:47.573] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2026-07-17 15:44:47.577] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2026-07-17 15:44:47.579] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2026-07-17 15:44:47.581] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2026-07-17 15:44:47.584] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2026-07-17 15:44:47.590] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2026-07-17 15:44:47.590] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
